Category,Product,URL
Guitars | Electric Guitars,JS1X Rhoads Minion 2/3 Scale Electric Guitar - Snow White,http://www.bigmusicshop.com.au/jackson-js1x-rhoads-minion-2-3-scale-electric-guitar-snow-white.html
Guitars | Electric Guitars,JBM20 Jake Bowen Signature Electric Guitar,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=9991
Guitars | Acoustic Guitars | Acoustic Electric Guitars,Tim Armstrong Hellcat SE Acoustic Electric Guitar,http://www.bigmusicshop.com.au/fender-tim-armstrong-hellcat-se-acoustic-guitar.html
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Germanium Fuzz Face Mini Distortion Pedal,https://www.ghmusic.com.au/dunlop-germanium-fuzz-face-mini-distortion.html
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,Thunder 50 Reverb E320,http://www.guitarfactory.com.au/Amps/ENGL/heads-racks-combos/ENGL-Thunder-50-Reverb-E320
Amps & FX | Effects | Vocal Effects,TC Helicon Harmony Singer Vocal Effect Pedal,http://www.bettermusic.com.au/tc-helicon-harmony-singer-vocal-fx-pedal
Guitars | Electric Guitars,Duo-Sonic Offset Electric Guitar - Capri Orange,http://www.portmacguitars.com.au/Fender-Duo-Sonic-Capri-Orange-Offset-Electric-Guitar
Guitars | Acoustic Guitars | Resonators,Hound Dog Round Neck Dobro Guitar,https://www.ghmusic.com.au/epiphone-dobro-hound-dog-round-neck.html
Amps & FX | Bass Amps | Bass Combos,CMD JB Players School Combo,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=6508
"Recording | Software | VST's, Instruments and FX",Komplete 11 Ultimate (Upgrade from all previous versions),https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=10780
Guitars | Electric Guitars | Les Pauls,Les Paul Tribute 2017 T - Faded Honey Burst,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=11273
Amps & FX | Guitar Amps | Guitar Combos | Valve Guitar Combos,1962HW 30 Watt Hand Wired Guitar Amp,https://www.belfieldmusic.com.au/marshall-1962hw-30-watt-hand-wired-guitar-amp.html
Guitars and Folk Instruments | Ukulele Entry Level,Cube Street EX Battery Powered Stereo Amp ,https://www.storedj.com.au/roland-cube-street-ex-battery-powered-stereo-amp-black
Guitars | Electric Guitars,JBM20 Jake Bowen Signature Electric Guitar,http://www.portmacguitars.com.au/Ibanez-JBM20-Jake-Bowen
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",DS-1X Special Edition Distortion Pedal with Premium Tone (DS1X),http://www.bettermusic.com.au/boss-ds-1x-distortion-ds1x
Guitars | Electric Guitars | Les Pauls,Les Paul Studio 2017 T - Black Cherry Burst,http://www.bettermusic.com.au/gibson-les-paul-studio-t-2017-black-cherry-burst
"Recording | Software | VST's, Instruments and FX | Virtual Drumming",Number 1 Hits EZX (EZdrummer Expansion),http://www.guitarfactory.com.au/Software/Toontrack/Toontrack-Number-1-Hits-EZX
Guitars | Electric Guitars | Hollowbodies,G6120T Players Edition Nashville - Orange Stain,http://www.bigmusicshop.com.au/gretsch-g6120t-players-edition-nashville-orange-stain-bigsby-st-ft.html
Guitars | Electric Guitars,James Tyler Lake Placid Blue Variax Electric Guitar,https://www.ghmusic.com.au/line-6-jtva-69-james-tyler-variax-lake-placid-blue.html
Amps & FX | Effects,Alter Ego X4 Vintage Echo Effects Pedal,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=7656
Guitars | Acoustic Guitars | Travel Guitars,TS-BTE Taylor Swift Baby Taylor - Acoustic Electric Guitar,http://www.haworthguitars.com.au/products/guitars/acoustic/taylor-taylor-swift-baby-taylor-e-ts-bte-with-pickup/
Guitars | Folk Instruments | Mandolin,G9311 New Yorker™ Supreme A/E Mandolin 2-Tone Sunburst,http://www.bettermusic.com.au/gretsch-g9311-new-yorker-supreme-acoustic-electric-mandolin-2-tone-sunburst
Guitars | Electric Guitars | Specialty & Rare Guitars,Gibson Flying V 2017 T - Ebony,http://www.haworthguitars.com.au/products/guitars/electric/gibson-2017-flying-v-t-2017-ebony/
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",Fat Sandwich Harmonic Saturator Distortion Guitar Effects Pedal,https://www.ghmusic.com.au/way-huge-fat-sandwich-harmonic-saturator-distortion-pedal.html
Guitars | Acoustic Guitars | Resonators,Gretsch G9200 Boxcar Round Neck Resonator Natural,https://www.ghmusic.com.au/gretsch-g9200-boxcar-round-neck-resonator.html
Guitars | Electric Guitars,Duo-Sonic Offset Electric Guitar - Torino Red,http://www.portmacguitars.com.au/Fender-Duo-Sonic-Torino-Red-Offset-Electric-Guitar
Live Sound | Mixers | Analog Mixers,MGP16X 16-Channel Premium Mixing Console,https://www.storedj.com.au/yamaha-mgp16x-16-channel-mixing-console
Recording,Big Shot ABY Amp Switcher Pedal,https://www.turramusic.com.au/Pages/CatalogueItem.aspx?CIID=3790
"Amps & FX | Effects | Distortion, Overdrive & Fuzz",OD-1X Special Edition Overdrive Pedal with Premium Tone (OD1X),http://www.bettermusic.com.au/boss-od-1x-overdrive-od1x
